"Price","Duration","price_per_hour","Days_Left","Predicted_Price","Residuals"
5956,2.17,2744.70046082949,1,11302.6402096457,-5346.64020964569
5955,2.08,2862.98076923077,1,11956.3134880009,-6001.31348800095
5949,16.33,364.298836497244,1,15007.9664830301,-9058.96648303008
10575,8,1321.875,1,9921.32387711401,653.67612288599
10838,6,1806.33333333333,1,10371.2484254877,466.751574512338
12150,23.17,524.384980578334,1,25398.1010940499,-13248.1010940499
12885,26.67,483.127109111361,1,29906.009811168,-17021.009811168
12539,15.17,826.565589980224,1,16459.1025206428,-3920.10252064282
13279,4.42,3004.29864253394,1,16079.0779082504,-2800.07790825041
13279,8.33,1594.11764705882,1,12159.2737587181,1119.72624128188
13935,6.5,2143.84615384615,1,13269.8347031554,665.165296844632
14408,26.42,545.344436033308,1,29973.1491572901,-15565.1491572901
14670,7.58,1935.3562005277,1,13375.6128155894,1294.38718441064
16613,4.42,3758.59728506787,1,21031.3420871575,-4418.34208715753
16665,17,980.294117647059,1,19967.0108093261,-3302.01080932614
16665,24.75,673.333333333333,1,28533.2840523221,-11868.2840523221
17348,13.75,1261.67272727273,1,17376.9298203859,-28.9298203858561
17400,5.5,3163.63636363636,1,18599.7878703904,-1199.78787039041
17505,19.5,897.692307692308,1,22838.1139920078,-5333.11399200783
17663,5,3532.6,1,20339.4945092754,-2676.49450927545
18923,12.17,1554.88907148726,1,17144.7301985593,1778.26980144072
19920,15.75,1264.7619047619,1,20127.9444454551,-207.944445455068
19710,7.92,2488.63636363636,1,17472.3370412966,2237.66295870336
21075,6,3512.5,1,21572.8966721217,-497.896672121708
5953,2.33,2554.9356223176,2,10259.272272837,-4306.27227283703
5955,2.08,2862.98076923077,2,11940.3669391381,-5985.3669391381
5955,2.17,2744.23963133641,2,11283.6681357951,-5328.6681357951
5955,2.25,2646.66666666667,2,10752.2929639575,-4797.29296395746
5954,2.25,2646.22222222222,2,10749.3750131915,-4795.37501319151
5954,2.33,2555.36480686695,2,10262.0900364522,-4308.09003645221
5955,2.17,2744.23963133641,2,11283.6681357951,-5328.6681357951
5955,2.17,2744.23963133641,2,11283.6681357951,-5328.6681357951
5949,16.33,364.298836497244,2,14992.0199341672,-9043.01993416724
5955,3.75,1588,2,5849.78396882045,105.21603117955
7530,2.17,3470.04608294931,2,16048.8699914786,-8518.86999147862
9183,15.25,602.16393442623,2,15079.1010795947,-5896.10107959467
9840,15.75,624.761904761905,2,15910.1487936251,-6070.14879362507
10523,4.08,2579.16666666667,2,12807.7498611914,-2284.74986119137
12150,12.42,978.260869565217,2,13684.336688456,-1534.33668845596
11814,7.67,1540.28683181226,2,10888.7650746334,925.234925366605
12308,12.58,978.378378378378,2,13903.5668173494,-1595.56681734935
12298,7.25,1696.27586206897,2,11339.439848628,958.560151371998
12302,10.17,1209.63618485742,2,12131.3310960013,170.668903998727
13069,14.25,917.122807017544,2,15781.5621812792,-2712.56218127922
13321,7.75,1718.83870967742,2,12170.2569682836,1150.74303171639
13830,21.08,656.07210626186,2,23393.1158247745,-9563.11582477451
14093,12.17,1158.01150369762,2,14523.1279431266,-430.12794312657
14513,11.17,1299.28379588183,2,14085.2690415595,427.730958440477
14513,12.75,1138.27450980392,2,15185.4594581319,-672.459458131929
14487,4.75,3049.89473684211,2,16813.0584060449,-2326.05840604489
14933,6,2488.83333333333,2,14836.1800215859,96.8199784141198
14933,7.58,1970.05277044855,2,13587.4627529733,1345.53724702671
15117,7.08,2135.16949152542,2,13988.8350510141,1128.1649489859
15720,4.17,3769.78417266187,2,20747.5001879885,-5027.50018798847
15720,10.33,1521.78121974831,2,14399.1433820052,1320.85661799482
16560,9.08,1823.78854625551,2,14675.2309210438,1884.76907895617
20445,4.83,4232.91925465839,2,24689.3041452164,-4244.30414521643
23281,7.5,3104.13333333333,2,20923.9137400899,2357.08625991013
25905,28.42,911.505981703026,2,35091.9286468583,-9186.92864685829
5953,2.25,2645.77777777778,3,10730.5105135627,-4777.51051356272
5955,2.17,2744.23963133641,3,11267.7215869323,-5312.72158693226
5956,2.17,2744.70046082949,3,11270.74711192,-5314.74711191999
7005,2.33,3006.43776824034,3,13207.6130471511,-6202.61304715112
10523,6,1753.83333333333,3,9994.67239353419,528.327606465806
10943,10.42,1050.19193857965,3,11409.9126324545,-466.91263245451
11415,20.83,548.007681228997,3,22326.3426428104,-10911.3426428104
11326,4.42,2562.44343891403,3,13146.2334183815,-1820.23341838146
11814,7.67,1540.28683181226,3,10872.8185257705,941.181474229452
11993,4.83,2483.02277432712,3,13184.6061023453,-1191.60610234531
12045,11,1095,3,12496.0075580415,-451.007558041538
12045,15.17,794.001318391562,3,16213.4123051615,-4168.41230516151
13069,7.08,1845.90395480226,3,12073.747664652,995.252335348019
13086,26.08,501.763803680982,3,29190.9076402497,-16104.9076402497
13200,4.25,3105.88235294118,3,16482.0091054438,-3282.00910544381
14040,12.42,1130.4347826087,3,14667.4711083693,-627.471108369273
14565,15.75,924.761904761905,3,17863.8190117781,-3298.81901177808
14565,26.67,546.119235095613,3,30287.6845385375,-15722.6845385375
14565,28.5,511.052631578947,3,32556.0793075208,-17991.0793075208
14235,11.75,1211.48936170213,3,14284.8304226771,-49.8304226770579
14744,8,1843,3,13310.8192384254,1433.18076157456
15405,30.08,512.134308510638,3,34720.4599858447,-19315.4599858447
15825,20.42,774.975514201763,3,23256.6745481082,-7431.67454810823
16665,20.08,829.930278884462,3,23153.2493626094,-6488.24936260939
17190,21.08,815.464895635674,3,24423.644977552,-7233.64497755196
17136,7.5,2284.8,3,15528.7249541993,1607.27504580071
17978,17.83,1008.30061693775,3,21252.2454638044,-3274.24546380444
19238,7.92,2429.0404040404,3,17049.1732726823,2188.82672731772
19605,19.08,1027.51572327044,3,23085.1082236427,-3480.10822364273
19920,7.58,2627.96833773087,3,17890.9879794438,2029.0120205562
22755,22.83,996.714848883049,3,28003.0128182551,-5248.01281825509
23491,5.92,3968.07432432432,3,24422.7970148675,-931.797014867461
29580,6.42,4607.47663551402,3,29303.4053012787,276.594698721343
5953,2.17,2743.31797235023,4,11245.7239880939,-5292.72398809394
5953,2.33,2554.9356223176,4,10227.3791751113,-4274.37917511133
5955,2.33,2555.79399141631,4,10233.0147023417,-4278.01470234171
5955,2.33,2555.79399141631,4,10233.0147023417,-4278.01470234171
6060,2.08,2913.46153846154,4,12239.8997397083,-6179.89973970835
5954,2.33,2555.36480686695,4,10230.1969387265,-4276.19693872652
5955,2,2977.5,4,12551.1078460763,-6596.10784607628
5955,2.25,2646.66666666667,4,10720.3998662318,-4765.39986623177
8413,17.5,480.742857142857,4,17322.1059436125,-8909.1059436125
8790,26.83,327.6183376817,4,29055.6531902909,-20265.6531902909
9000,15.17,593.276203032301,4,14879.627247056,-5879.62724705602
9447,4.75,1988.84210526316,4,9814.94179550524,-367.941795505239
9840,8.25,1192.72727272727,4,9366.92075522337,473.079244776629
9840,12.58,782.193958664547,4,12583.6466446382,-2743.6466446382
9840,19.25,511.168831168831,4,19911.2556565072,-10071.2556565072
10575,7.92,1335.22727272727,4,9851.91777909791,723.082220902086
10575,16.33,647.581139007961,4,16819.9854125214,-6244.98541252142
10349,4.42,2341.40271493213,4,11679.0684823584,-1330.06848235836
10523,4.17,2523.50119904077,4,12533.2742859611,-2010.27428596111
10575,8,1321.875,4,9873.48423052547,701.51576947453
11625,27.58,421.501087744743,4,30696.0548504939,-19071.0548504939
12150,5.75,2113.04347826087,4,11995.7386375505,154.261362449499
12150,16.17,751.39146567718,4,17283.0819747139,-5133.08197471391
12150,11.33,1072.37422771403,4,12782.0849480996,-632.084948099604
12150,26.42,459.878879636639,4,29364.1948677642,-17214.1948677642
12990,15.75,824.761904761905,4,17191.3335405766,-4201.33354057661
12990,18.25,711.780821917808,4,19862.9849724163,-6872.98497241628
12990,11.42,1137.47810858144,4,13332.4002497083,-342.400249708335
15143,11.5,1316.78260869565,4,14618.8334013618,524.166598638241
15720,30.08,522.606382978723,4,34773.2666818411,-19053.2666818411
15825,7.25,2182.75862068966,4,14501.4954117138,1323.50458828624
16665,12.83,1298.90880748246,4,16317.42236619,347.577633809955
18345,13.83,1326.46420824295,4,17863.7007836254,481.299216374646
18450,5.5,3354.54545454545,4,19805.3407119029,-1355.34071190287
5953,2.17,2743.31797235023,5,11229.7774392311,-5276.77743923109
5953,2.33,2554.9356223176,5,10211.4326262485,-4258.43262624849
5955,2.08,2862.98076923077,5,11892.5272925496,-5937.52729254956
5955,2.25,2646.66666666667,5,10704.4533173689,-4749.45331736893
5955,2.33,2555.79399141631,5,10217.0681534789,-4262.06815347886
5954,2.17,2743.77880184332,5,11232.8029642188,-5278.80296421883
5954,2.25,2646.22222222222,5,10701.535366603,-4747.53536660298
5954,2.33,2555.36480686695,5,10214.2503898637,-4260.25038986367
5955,2.25,2646.66666666667,5,10704.4533173689,-4749.45331736893
5955,2.17,2744.23963133641,5,11235.8284892066,-5280.82848920656
5954,8.92,667.488789237668,5,6817.37467292851,-863.374672928509
5954,11.75,506.723404255319,5,9625.87450292065,-3671.87450292065
5954,14.5,410.620689655172,5,12749.6806132966,-6795.68061329657
6139,2.17,2829.03225806452,5,11792.5250869499,-5653.52508694991
9000,17.17,524.17006406523,5,17140.7049706216,-8140.70497062158
9840,13.42,733.233979135618,5,13393.1666222374,-3553.16662223743
9840,26.5,371.320754716981,5,28876.0590788094,-19036.0590788094
9590,10.5,913.333333333333,5,10588.7188416159,-998.718841615862
9945,19.25,516.623376623377,5,19931.1203215901,-9986.12032159011
10575,4.42,2392.53393665158,5,11998.818305551,-1423.81830555101
10549,7.08,1489.97175141243,5,9705.0211145346,843.978885465403
10575,8,1321.875,5,9857.53768166262,717.462318337377
10680,22.75,469.450549450549,5,24400.1950522601,-13720.1950522601
12150,5.5,2209.09090909091,5,12269.039234434,-119.039234434045
12150,5.83,2084.04802744425,5,11898.6549872679,251.34501273207
12150,7.33,1657.57162346521,5,11146.7211299099,1003.27887009009
12150,11.17,1087.73500447628,5,12648.5292396566,-498.529239656609
12150,11.67,1041.13110539846,5,13025.2397460015,-875.239746001485
12045,11,1095,5,12464.1144603158,-419.114460315845
12990,7.33,1772.16916780355,5,11899.0986125353,1090.90138746466
13095,13.08,1001.14678899083,5,14687.8938915476,-1592.89389154757
13095,15.58,840.500641848524,5,17046.6056239118,-3951.60562391179
13279,8.67,1531.6032295271,5,12149.2806854181,1129.71931458193
13410,19.5,687.692307692308,5,21395.5960596453,-7985.59605964535
14031,24.83,565.08256141764,5,27868.0187244111,-13837.0187244111
15615,4.83,3232.91925465838,5,18076.0752752417,-2461.07527524171
5953,2.17,2743.31797235023,6,11213.8308903682,-5260.83089036824
5956,2.17,2744.70046082949,6,11222.9074653315,-5266.90746533145
5955,2.17,2744.23963133641,6,11219.8819403437,-5264.88194034372
5955,2.17,2744.23963133641,6,11219.8819403437,-5264.88194034372
5955,2.17,2744.23963133641,6,11219.8819403437,-5264.88194034372
5954,2.33,2555.36480686695,6,10198.3038410008,-4244.30384100083
5955,2.17,2744.23963133641,6,11219.8819403437,-5264.88194034372
5955,2.25,2646.66666666667,6,10688.5067685061,-4733.50676850608
5954,7.5,793.866666666667,6,5692.32766815685,261.672331843145
5954,8,744.25,6,6049.25818264134,-95.258182641337
6060,4.5,1346.66666666667,6,5225.57537213577,834.424627864228
6270,13.25,473.207547169811,6,11437.9330364905,-5167.93303649054
9000,21.83,412.276683463124,6,22752.7426524467,-13752.7426524467
9000,17.17,524.17006406523,6,17124.7584217587,-8124.75842175874
9840,8.25,1192.72727272727,6,9335.02765749768,504.972342502322
9840,23.58,417.302798982188,6,25175.1324080246,-15335.1324080246
10313,15.67,658.136566687939,6,15956.2509250181,-5643.25092501812
10680,6.42,1663.55140186916,6,9927.55065126353,752.449348736469
11127,7.08,1571.61016949153,6,10225.0625559425,901.937444057457
11179,8,1397.375,6,10337.2780191654,841.721980834567
11295,5.83,1937.39279588336,6,10919.859761562,375.140238438002
12150,7.33,1657.57162346521,6,11130.7745810471,1019.22541895293
12150,7.58,1602.90237467018,6,11113.1913057167,1036.80869428334
12150,12.67,958.95816890292,6,13835.1623716532,-1685.16237165316
11814,7.67,1540.28683181226,6,10824.978879182,989.021120817992
11900,10.08,1180.55555555556,6,11753.7362665608,146.263733439155
12308,26.67,461.492313460817,6,29684.2362126395,-17376.2362126395
12150,7.58,1602.90237467018,6,11113.1913057167,1036.80869428334
12150,11.33,1072.37422771403,6,12750.1918503739,-600.191850373911
12298,7.25,1696.27586206897,6,11275.6536531766,1022.34634682338
13095,15.42,849.221789883268,6,16869.458168574,-3774.458168574
14328,21.08,679.696394686907,6,23484.4322779591,-9156.43227795909
14880,13.83,1075.92190889371,6,16186.8999737498,-1306.89997374976
14880,26.5,561.509433962264,6,30108.7752350736,-15228.7752350736
5953,2.25,2645.77777777778,7,10666.7243181113,-4713.72431811133
5953,2.33,2554.9356223176,7,10179.5395285228,-4226.53952852279
5955,2.17,2744.23963133641,7,11203.9353914809,-5248.93539148087
5954,2.25,2646.22222222222,7,10669.6422688773,-4715.64226887728
5954,2.33,2555.36480686695,7,10182.357292138,-4228.35729213798
5955,2.17,2744.23963133641,7,11203.9353914809,-5248.93539148087
5955,2.33,2555.79399141631,7,10185.1750557532,-4230.17505575317
5955,2.17,2744.23963133641,7,11203.9353914809,-5248.93539148087
5955,2.17,2744.23963133641,7,11203.9353914809,-5248.93539148087
5954,14.5,410.620689655172,7,12717.7875155709,-6763.78751557088
5955,4.5,1323.33333333333,7,5056.43640806058,898.563591939419
6060,13.25,457.358490566038,7,11317.9312622004,-5257.93126220044
7468,14.75,506.305084745763,7,13687.3344335039,-6219.33443350394
7468,17.5,426.742857142857,7,16919.7352789611,-9451.73527896111
9315,24.75,376.363636363636,7,26487.8831109879,-17172.8831109879
9373,6,1562.16666666667,7,8672.51993026712,700.480069732876
9840,15.5,634.838709677419,7,15555.2325741502,-5715.23257415024
9840,17.92,549.107142857143,7,18296.5583659363,-8456.55836593628
9893,19.25,513.922077922078,7,19881.4921464818,-9988.49214648177
9861,4.92,2004.26829268293,7,10100.4933762206,-239.493376220558
9905,23.92,414.088628762542,7,25602.3081859599,-15697.3081859599
10260,20.83,492.558809409506,7,21898.5130218664,-11638.5130218664
10349,3.83,2702.08877284595,7,13193.7069665435,-2844.70696654347
10349,8.33,1242.37695078031,7,9754.27988876775,594.720111232249
10349,10.17,1017.60078662734,7,10790.8112176385,-441.811217638544
11295,5.83,1937.39279588336,7,10903.9132126991,391.08678730085
12150,6.5,1869.23076923077,7,11371.1985232484,778.801476751609
12150,15.25,796.72131147541,7,16276.7132418894,-4126.7132418894
12150,22.83,532.194480946124,7,24889.4696051072,-12739.4696051072
12150,26.42,459.878879636639,7,29316.3552211756,-17166.3552211756
12215,16.5,740.30303030303,7,17613.0133744737,-5398.01337447369
13095,15.58,840.500641848524,7,17014.7125261861,-3919.71252618609
